nb specie	taxa	taxon	ornella Tooth area	ornella skull	brain masse stephan	brain masse Hofman	eq pilleri tooth	eq pilleri skull	eq pilleri/stephan	vol olfact bulbes	vol petrosol lobule	vol endocast	vol cerebrum	% olfactory bulbs 	%petrosol lobule 	% cerebrum	area neocortex	area endocast	pourcentage area neocortex
IPS36548	C. bravoi	C.bravoi	1333,21	995,13	8,41	5,89	0,61	0,74	1,00	217,42		6186,56	4099,51	3,51		66,26	681,35	2235,45	30,48
TFMCVF873	C. bravoi	C.bravoi	1162,16	806,33	7,42	5,20	0,59	0,75	1,01	196,21		5456,54	3716,77	3,60		68,12	666,90	1979,79	33,69
ZFMK 2010.308	C. tamarani	C.tamrani	642,47	586,64	7,18	5,03	0,83	0,88	1,20	192,73	37,70	5279,46	3759,69	3,65	0,71	71,21		2022,71	
MNHN-ZM-MO-1998-1113	A. niloticus	Extant Arvicanthini	58,80	39,66	1,44	1,01	0,78	1,00	1,36	37,56	10,75	1059,44	723,86	3,55	1,01	68,33	219,69	689,32	31,87
MNHN-ZM-MO-2004-750	A. niloticus	Extant Arvicanthini	50,92	46,40	1,50	1,05	0,89	0,94	1,28	46,81	9,71	1104,42	748,06	4,24	0,88	67,73	223,66	706,45	31,66
MNHN-ZM-MO-1978-195	A. neumanni	Extant Arvicanthini	55,40	98,38	1,93	1,35	1,08	0,75	1,02	72,84	12,26	1415,73	934,98	5,14	0,87	66,04	254,28	897,38	28,34
MNHN-ZM-MO-1905-213A	A. abyssinicus	Extant Arvicanthini	58,84	60,66	1,61	1,13	0,87	0,85	1,16	57,57	10,95	1181,43	802,15	4,87	0,93	67,90	229,26	763,04	30,05
MNHN-ZM-2008-6	L. striatus	Extant Arvicanthini	23,24	31,82	1,23	0,86	1,20	0,98	1,34	40,19	9,96	904,05	662,89	4,45	1,10	73,32	221,56	609,56	36,35
MNHN-ZM-MO-2007-1247	P. fallax	Extant Arvicanthini	49,81	46,58	1,64	1,15	0,99	1,03	1,40	77,91	12,98	1207,56	894,31	6,45	1,07	74,06	259,62	744,89	34,85
MNHN-ZM-2005-688	Ra. pumilio	Extant Arvicanthini	23,79	25,27	0,93	0,65	0,89	0,86	1,17	33,02	8,55	680,57	472,29	4,85	1,26	69,40	175,29	505,48	34,68
M-443	R.rattus 	R. rattus 	59,43	180,35	2,87	2,01	1,54	0,76	1,03	89,71	19,81	2113,44	1384,28	4,24	0,94	65,50	333,55	1110,39	30,04
MNHN-ZM-MO-1897-414	Cr. schadenbergi	Extant giant insular murinae 	963,67	1088,53	7,35	5,15	0,66	0,61	0,83	175,84	8,36	5403,25	3700,32	3,25	0,15	68,48	674,11	2219,43	30,37
MNHN-ZM-AC-A7569	Ph. cumingi	Extant giant insular murinae 	1556,96	789,04	8,13	5,69	0,54	0,83	1,13	229,07	26,64	5977,72	4376,41	3,83	0,45	73,21	748,78	2153,23	34,77
